Time;Speed;RPM
0;0;0
2000;2;0
200;4;0
200;6;0
200;8;0
200;10;0
200;12;0
200;14;0
200;16;0
200;18;0
200;20;0
200;22;0
200;24;0
200;26;0
200;28;0
200;30;0
200;32;0
200;34;0
200;36;0
200;38;0
200;40;0
200;42;0
200;44;0
200;46;0
200;48;0
200;50;0
200;52;0
200;54;0
200;56;0
200;58;0
200;60;0
200;62;0
200;64;0
200;66;0
200;68;0
200;70;0
200;72;0
200;74;0
200;76;0
200;78;0
200;80;0
200;82;0
200;84;0
200;86;0
200;88;0
200;90;0
200;92;0
200;94;0
200;96;0
200;98;0
200;100;0
200;102;0
200;104;0
200;106;0
200;108;0
200;110;0
200;112;0
200;114;0
200;116;0
200;118;0
200;120;0
200;122;0
200;124;0
200;126;0
200;128;0
200;130;0
200;132;0
200;134;0
200;136;0
200;138;0
200;140;0
200;142;0
200;144;0
200;146;0
200;148;0
200;150;0
200;152;0
200;154;0
200;156;0
200;158;0
200;160;0
200;162;0
200;164;0
200;166;0
200;168;0
200;170;0
200;172;0
200;174;0
200;176;0
200;178;0
200;180;0
200;182;0
200;184;0
200;186;0
200;188;0
200;190;0
200;192;0
200;194;0
200;196;0
200;198;0
200;200;0
5000;198;0
200;196;0
200;194;0
200;192;0
200;190;0
200;188;0
200;186;0
200;184;0
200;182;0
200;180;0
200;178;0
200;176;0
200;174;0
200;172;0
200;170;0
200;168;0
200;166;0
200;164;0
200;162;0
200;160;0
200;158;0
200;156;0
200;154;0
200;152;0
200;150;0
200;148;0
200;146;0
200;144;0
200;142;0
200;140;0
200;138;0
200;136;0
200;134;0
200;132;0
200;130;0
200;128;0
200;126;0
200;124;0
200;122;0
200;120;0
200;118;0
200;116;0
200;114;0
200;112;0
200;110;0
200;108;0
200;106;0
200;104;0
200;102;0
200;100;0
200;98;0
200;96;0
200;94;0
200;92;0
200;90;0
200;88;0
200;86;0
200;84;0
200;82;0
200;80;0
200;78;0
200;76;0
200;74;0
200;72;0
200;70;0
200;68;0
200;66;0
200;64;0
200;62;0
200;60;0
200;58;0
200;56;0
200;54;0
200;52;0
200;50;0
200;48;0
200;46;0
200;44;0
200;42;0
200;40;0
200;38;0
200;36;0
200;34;0
200;32;0
200;30;0
200;28;0
200;26;0
200;24;0
200;22;0
200;20;0
200;18;0
200;16;0
200;14;0
200;12;0
200;10;0
200;8;0
200;6;0
200;4;0
200;2;0
200;0;0
2000;0;0
200;0;100
200;0;200
200;0;300
200;0;400
200;0;500
200;0;600
200;0;700
200;0;800
200;0;900
200;0;1000
200;0;1100
200;0;1200
200;0;1300
200;0;1400
200;0;1500
200;0;1600
200;0;1700
200;0;1800
200;0;1900
200;0;2000
200;0;2100
200;0;2200
200;0;2300
200;0;2400
200;0;2500
200;0;2600
3000;0;2600
200;0;2700
200;0;2800
200;0;2900
200;0;3000
200;0;3100
200;0;3200
200;0;3300
200;0;3400
200;0;3500
3000;0;3500
200;0;3400
200;0;3300
200;0;3200
200;0;3100
200;0;3000
200;0;2900
200;0;2800
200;0;2700
200;0;2600
200;0;2500
200;0;2400
200;0;2300
200;0;2200
200;0;2100
200;0;2000
200;0;1900
200;0;1800
200;0;1700
200;0;1600
200;0;1500
200;0;1400
200;0;1300
200;0;1200
200;0;1100
200;0;1000
200;0;900
200;0;800
200;0;700
200;0;600
200;0;500
200;0;400
200;0;300
200;0;200
200;0;100
200;0;0
